2022 Federal Election Polling Places [Event:27966 Phase:FinalResults Generated:2022-07-19T10:31:27 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
State,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceTypeID,PollingPlaceNm,PremisesNm,PremisesAddress1,PremisesAddress2,PremisesAddress3,PremisesSuburb,PremisesStateAb,PremisesPostCode,Latitude,Longitude
ACT,318,Bean,93925,5,Belconnen BEAN PPVC,Belconnen Community Centre,Swanson Place,,,BELCONNEN,ACT,2617,-35.23895,149.06914
ACT,318,Bean,11877,1,Bonython,Bonython Primary School,64 Hurtle Ave,,,BONYTHON,ACT,2905,-35.4314640979023,149.082408682055
ACT,318,Bean,11452,1,Calwell,Calwell High School,111 Casey Cres,,,CALWELL,ACT,2905,-35.4413422209747,149.11775927534
ACT,318,Bean,8761,1,Chapman,Chapman Primary School,46-50 Perry Dr,,,CHAPMAN,ACT,2611,-35.3561125840553,149.043059277666
ACT,318,Bean,8763,1,Chisholm,Caroline Chisholm School,108 Hambidge Cres,,,CHISHOLM,ACT,2905,-35.4183524410933,149.120967587765
ACT,318,Bean,93916,1,City (Bean),Pilgrim House,Uniting Church,69 Northbourne Ave,,CITY,ACT,2601,-35.2767018,149.1290814
ACT,318,Bean,93922,5,City BEAN PPVC,11 Moore St,,,,CANBERRA,ACT,2601,-35.2766353,149.12786222
ACT,318,Bean,31298,1,Conder,Charles Conder Primary School,134 Tom Roberts Ave,,,CONDER,ACT,2906,-35.4650186194909,149.098446685317
ACT,318,Bean,83835,1,Conder North,Saint Clare of Assisi PS,40 Heidelberg St,,,CONDER,ACT,2906,-35.45855174,149.09697882
ACT,318,Bean,82523,1,Coombs,Charles Weston School,80 Woodberry Ave,,,COOMBS,ACT,2611,-35.3202970136925,149.04162401241
ACT,318,Bean,93906,1,Curtin (Bean),Curtin Primary School,70 Theodore St,,,CURTIN,ACT,2605,-35.330902376993,149.079670175216
ACT,318,Bean,8767,1,Duffy,Duffy Primary School,47 Burrinjuck Cres,,,DUFFY,ACT,2611,-35.3347,149.032
ACT,318,Bean,93927,5,EAV Bean PPVC,AEC National EAV Centre,10 Mort St,,,CANBERRA,ACT,2601,-35.27731412,149.13122656
ACT,318,Bean,108523,5,EAV COVID19 Bean PPVC,AEC National EAV2 Centre,10 Mort St,,,CANBERRA,ACT,2601,-35.27721071,149.13102137
ACT,318,Bean,8768,1,Fadden,Fadden Primary School,5 Hanlon Cres,,,FADDEN,ACT,2904,-35.4042743307657,149.118231259975
ACT,318,Bean,8769,1,Farrer,Farrer Primary School,38 Dookie St,,,FARRER,ACT,2607,-35.37803246,149.10685585
ACT,318,Bean,93913,1,Garran (Bean),Garran Primary School,136 Gilmore Cres,,,GARRAN,ACT,2605,-35.3446687,149.1029475
ACT,318,Bean,8771,1,Gilmore,Gilmore Primary School,219 Heagney Cres,,,GILMORE,ACT,2905,-35.4191995722759,149.134789785524
ACT,318,Bean,12072,1,Gordon,Gordon Primary School,15 Knoke Ave,,,GORDON,ACT,2906,-35.4563872084649,149.087058618174
ACT,318,Bean,83837,1,Gordon North,Covenant Christian School,1 Woodcock Dr,,,GORDON,ACT,2906,-35.4393604485824,149.089787429914
ACT,318,Bean,8772,1,Gowrie,Gowrie Primary School,15 Jeffries St,,,GOWRIE,ACT,2904,-35.4126619102086,149.111020810023
ACT,318,Bean,97445,1,Greenway,Lake Tuggeranong College,123 Cowlishaw St,,,GREENWAY,ACT,2900,-35.4137385,149.0682594
ACT,318,Bean,93929,5,Gungahlin BEAN PPVC,Quokka Pavilion,Flemington Rd,,,MITCHELL,ACT,2911,-35.2312167620943,149.145863271337
ACT,318,Bean,8773,1,Holder,St Jude's Primary School,49 Mulley St,,,HOLDER,ACT,2611,-35.3339813445432,149.050568389306
ACT,318,Bean,93908,1,Hughes (Bean),Hughes Primary School,10 Groom St,,,HUGHES,ACT,2605,-35.3316883681062,149.09270707311
ACT,318,Bean,8884,1,Isabella Plains,Isabella Plains Early Childhood School,130 Ellerston Ave,,,ISABELLA PLAINS,ACT,2905,-35.4288316084651,149.089239941334
ACT,318,Bean,8776,1,Kambah North,Taylor Primary School,88 Marconi Cres,,,KAMBAH,ACT,2902,-35.3779033459995,149.064245161645
ACT,318,Bean,8777,1,Kambah South,Namadgi School,141 O'Halloran Crct,,,KAMBAH,ACT,2902,-35.3926360863997,149.067791319233
ACT,318,Bean,8778,1,Kambah West,St Thomas the Apostle School,Convent,39 Boddington Cres,,KAMBAH,ACT,2902,-35.3808312151315,149.053785532887
