StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,TotalVotes,Progressive,Conservative,Other,Leaning
ACT,101,Canberra,8764,Curtin (Canberra),1725,0.688695652173913,0.20521739130434782,0.10608695652173913,-0.48347826086956525
ACT,101,Canberra,8766,Deakin,982,0.5315682281059063,0.38289205702647655,0.0855397148676171,-0.14867617107942976
ACT,101,Canberra,8774,Hughes (Canberra),1415,0.6643109540636042,0.24240282685512368,0.09328621908127209,-0.4219081272084805
ACT,101,Canberra,8779,Lyons (Canberra),853,0.6951934349355217,0.18522860492379836,0.11957796014067995,-0.5099648300117233
ACT,101,Canberra,8782,Narrabundah,948,0.6318565400843882,0.22257383966244726,0.14556962025316456,-0.4092827004219409
ACT,101,Canberra,8783,Oaks Estate,176,0.5909090909090909,0.21022727272727273,0.19886363636363635,-0.38068181818181823
ACT,101,Canberra,8785,Red Hill,1963,0.6189505858380031,0.2959755476311768,0.08507386653082018,-0.3229750382068263
ACT,101,Canberra,8794,Garran (Canberra),938,0.6098081023454158,0.267590618336887,0.12260127931769722,-0.3422174840085288
ACT,101,Canberra,8801,Ainslie North,1842,0.8051031487513572,0.11454940282301845,0.08034744842562432,-0.6905537459283388
ACT,101,Canberra,8802,Braddon,1895,0.7693931398416887,0.13931398416886542,0.09129287598944591,-0.6300791556728232
ACT,101,Canberra,8803,Aranda (Canberra),1386,0.7929292929292929,0.11038961038961038,0.09668109668109669,-0.6825396825396826
ACT,101,Canberra,8806,Campbell,1583,0.6039166140240051,0.3025900189513582,0.09349336702463676,-0.3013265950726469
ACT,101,Canberra,8808,City (Canberra),1353,0.7871396895787139,0.12564671101256467,0.08721359940872137,-0.6614929785661493
ACT,101,Canberra,8809,Dickson,360,0.75,0.15,0.1,-0.6
ACT,101,Canberra,8816,Giralang (Canberra),1239,0.6343825665859564,0.19047619047619047,0.1751412429378531,-0.4439063761097659
ACT,101,Canberra,8817,Griffith,1265,0.6260869565217392,0.25375494071146243,0.12015810276679842,-0.37233201581027675
ACT,101,Canberra,8823,Kaleen,1487,0.6005379959650302,0.25016812373907193,0.14929388029589777,-0.3503698722259583
ACT,101,Canberra,8824,Kaleen South,1344,0.6793154761904762,0.20089285714285715,0.11979166666666667,-0.478422619047619
ACT,101,Canberra,8826,Lyneham,2097,0.7963757749165474,0.12017167381974249,0.08345255126371007,-0.676204101096805
ACT,101,Canberra,8828,Macquarie (Canberra),1218,0.7298850574712644,0.16912972085385877,0.10098522167487685,-0.5607553366174056
ACT,101,Canberra,8829,Barton,2148,0.6685288640595903,0.24115456238361266,0.09031657355679702,-0.4273743016759777
ACT,101,Canberra,8836,Turner,1826,0.776013143483023,0.14457831325301204,0.07940854326396495,-0.6314348302300109
ACT,101,Canberra,8837,Watson,1789,0.7506987143655673,0.14812744550027948,0.10117384013415316,-0.6025712688652879
ACT,101,Canberra,8838,Weetangera (Canberra),1486,0.6729475100942126,0.22678331090174966,0.10026917900403769,-0.446164199192463
ACT,101,Canberra,8840,Yarralumla,1277,0.5755677368833203,0.31323414252153486,0.11119812059514488,-0.26233359436178544
