2022 Federal Election House of Representatives First Preferences By Candidate By Polling Place for ACT [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:00 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
ACT,318,Bean,93925,Belconnen BEAN PPVC,36239,CONWAY,Sean,1,N,N,UAPP,United Australia Party,26,0.33
ACT,318,Bean,93925,Belconnen BEAN PPVC,37455,AMBARD,Benjamin,2,N,N,ON,Pauline Hanson's One Nation,23,2.55
ACT,318,Bean,93925,Belconnen BEAN PPVC,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,356,1.89
ACT,318,Bean,93925,Belconnen BEAN PPVC,32130,CHRISTIE,Jamie,4,N,N,IND,Independent,60,0.55
ACT,318,Bean,93925,Belconnen BEAN PPVC,36243,SAVERY,Kathryn Jane,5,N,N,GRN,The Greens,156,2.26
ACT,318,Bean,93925,Belconnen BEAN PPVC,37198,HIATT,Jane,6,N,N,LP,Liberal,282,0.49
ACT,318,Bean,93925,Belconnen BEAN PPVC,999,Informal,Informal,999,N,N,,Informal,32,-2.32
ACT,318,Bean,11877,Bonython,36239,CONWAY,Sean,1,N,N,UAPP,United Australia Party,37,1.02
ACT,318,Bean,11877,Bonython,37455,AMBARD,Benjamin,2,N,N,ON,Pauline Hanson's One Nation,37,2.9
ACT,318,Bean,11877,Bonython,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,541,-0.87
ACT,318,Bean,11877,Bonython,32130,CHRISTIE,Jamie,4,N,N,IND,Independent,96,0.08
ACT,318,Bean,11877,Bonython,36243,SAVERY,Kathryn Jane,5,N,N,GRN,The Greens,176,0.47
ACT,318,Bean,11877,Bonython,37198,HIATT,Jane,6,N,N,LP,Liberal,390,2.87
ACT,318,Bean,11877,Bonython,999,Informal,Informal,999,N,N,,Informal,37,-3.78
ACT,318,Bean,11452,Calwell,36239,CONWAY,Sean,1,N,N,UAPP,United Australia Party,76,1.62
ACT,318,Bean,11452,Calwell,37455,AMBARD,Benjamin,2,N,N,ON,Pauline Hanson's One Nation,64,3.69
ACT,318,Bean,11452,Calwell,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,721,1.9
ACT,318,Bean,11452,Calwell,32130,CHRISTIE,Jamie,4,N,N,IND,Independent,146,-1.72
ACT,318,Bean,11452,Calwell,36243,SAVERY,Kathryn Jane,5,N,N,GRN,The Greens,218,-0.22
ACT,318,Bean,11452,Calwell,37198,HIATT,Jane,6,N,N,LP,Liberal,510,-0.04
ACT,318,Bean,11452,Calwell,999,Informal,Informal,999,N,N,,Informal,63,-1.92
ACT,318,Bean,8761,Chapman,36239,CONWAY,Sean,1,N,N,UAPP,United Australia Party,41,0.57
ACT,318,Bean,8761,Chapman,37455,AMBARD,Benjamin,2,N,N,ON,Pauline Hanson's One Nation,47,2.15
ACT,318,Bean,8761,Chapman,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,943,3.14
ACT,318,Bean,8761,Chapman,32130,CHRISTIE,Jamie,4,N,N,IND,Independent,213,-1.11
ACT,318,Bean,8761,Chapman,36243,SAVERY,Kathryn Jane,5,N,N,GRN,The Greens,347,0.9
ACT,318,Bean,8761,Chapman,37198,HIATT,Jane,6,N,N,LP,Liberal,594,0.25
ACT,318,Bean,8761,Chapman,999,Informal,Informal,999,N,N,,Informal,25,-1.6
ACT,318,Bean,8763,Chisholm,36239,CONWAY,Sean,1,N,N,UAPP,United Australia Party,56,0.32
ACT,318,Bean,8763,Chisholm,37455,AMBARD,Benjamin,2,N,N,ON,Pauline Hanson's One Nation,50,4.03
ACT,318,Bean,8763,Chisholm,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,508,2
ACT,318,Bean,8763,Chisholm,32130,CHRISTIE,Jamie,4,N,N,IND,Independent,84,-1.48
ACT,318,Bean,8763,Chisholm,36243,SAVERY,Kathryn Jane,5,N,N,GRN,The Greens,131,0.14
ACT,318,Bean,8763,Chisholm,37198,HIATT,Jane,6,N,N,LP,Liberal,413,2.03
ACT,318,Bean,8763,Chisholm,999,Informal,Informal,999,N,N,,Informal,46,-2.53
ACT,318,Bean,93916,City (Bean),36239,CONWAY,Sean,1,N,N,UAPP,United Australia Party,2,3.23
ACT,318,Bean,93916,City (Bean),37455,AMBARD,Benjamin,2,N,N,ON,Pauline Hanson's One Nation,1,1.61
ACT,318,Bean,93916,City (Bean),36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,16,-7.89
ACT,318,Bean,93916,City (Bean),32130,CHRISTIE,Jamie,4,N,N,IND,Independent,6,2.07
ACT,318,Bean,93916,City (Bean),36243,SAVERY,Kathryn Jane,5,N,N,GRN,The Greens,23,2.33
ACT,318,Bean,93916,City (Bean),37198,HIATT,Jane,6,N,N,LP,Liberal,14,6.26
ACT,318,Bean,93916,City (Bean),999,Informal,Informal,999,N,N,,Informal,4,2.9
ACT,318,Bean,93922,City BEAN PPVC,36239,CONWAY,Sean,1,N,N,UAPP,United Australia Party,36,0.25
ACT,318,Bean,93922,City BEAN PPVC,37455,AMBARD,Benjamin,2,N,N,ON,Pauline Hanson's One Nation,28,1.65
ACT,318,Bean,93922,City BEAN PPVC,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,735,2.37
ACT,318,Bean,93922,City BEAN PPVC,32130,CHRISTIE,Jamie,4,N,N,IND,Independent,133,1.13
ACT,318,Bean,93922,City BEAN PPVC,36243,SAVERY,Kathryn Jane,5,N,N,GRN,The Greens,330,2.67
ACT,318,Bean,93922,City BEAN PPVC,37198,HIATT,Jane,6,N,N,LP,Liberal,433,-2.05
ACT,318,Bean,93922,City BEAN PPVC,999,Informal,Informal,999,N,N,,Informal,32,-2.63
ACT,318,Bean,31298,Conder,36239,CONWAY,Sean,1,N,N,UAPP,United Australia Party,93,1.36
ACT,318,Bean,31298,Conder,37455,AMBARD,Benjamin,2,N,N,ON,Pauline Hanson's One Nation,61,3.06
ACT,318,Bean,31298,Conder,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,829,3.52
ACT,318,Bean,31298,Conder,32130,CHRISTIE,Jamie,4,N,N,IND,Independent,176,1.2
ACT,318,Bean,31298,Conder,36243,SAVERY,Kathryn Jane,5,N,N,GRN,The Greens,248,1.06
ACT,318,Bean,31298,Conder,37198,HIATT,Jane,6,N,N,LP,Liberal,586,-1.15
ACT,318,Bean,31298,Conder,999,Informal,Informal,999,N,N,,Informal,87,-2.74
ACT,318,Bean,83835,Conder North,36239,CONWAY,Sean,1,N,N,UAPP,United Australia Party,35,0.06
ACT,318,Bean,83835,Conder North,37455,AMBARD,Benjamin,2,N,N,ON,Pauline Hanson's One Nation,41,3.81
ACT,318,Bean,83835,Conder North,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,420,3.49
ACT,318,Bean,83835,Conder North,32130,CHRISTIE,Jamie,4,N,N,IND,Independent,90,-1.56
ACT,318,Bean,83835,Conder North,36243,SAVERY,Kathryn Jane,5,N,N,GRN,The Greens,122,1.3
ACT,318,Bean,83835,Conder North,37198,HIATT,Jane,6,N,N,LP,Liberal,367,-0.69
ACT,318,Bean,83835,Conder North,999,Informal,Informal,999,N,N,,Informal,38,-2.8
ACT,318,Bean,82523,Coombs,36239,CONWAY,Sean,1,N,N,UAPP,United Australia Party,49,0.53
ACT,318,Bean,82523,Coombs,37455,AMBARD,Benjamin,2,N,N,ON,Pauline Hanson's One Nation,42,1.68
ACT,318,Bean,82523,Coombs,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,1094,3.36
ACT,318,Bean,82523,Coombs,32130,CHRISTIE,Jamie,4,N,N,IND,Independent,167,-2.5
ACT,318,Bean,82523,Coombs,36243,SAVERY,Kathryn Jane,5,N,N,GRN,The Greens,475,2.77
ACT,318,Bean,82523,Coombs,37198,HIATT,Jane,6,N,N,LP,Liberal,671,0.21
ACT,318,Bean,82523,Coombs,999,Informal,Informal,999,N,N,,Informal,42,-2.07
ACT,318,Bean,93906,Curtin (Bean),36239,CONWAY,Sean,1,N,N,UAPP,United Australia Party,1,-0.6
ACT,318,Bean,93906,Curtin (Bean),37455,AMBARD,Benjamin,2,N,N,ON,Pauline Hanson's One Nation,5,3.52
ACT,318,Bean,93906,Curtin (Bean),36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,62,6.7
ACT,318,Bean,93906,Curtin (Bean),32130,CHRISTIE,Jamie,4,N,N,IND,Independent,7,-1.59
ACT,318,Bean,93906,Curtin (Bean),36243,SAVERY,Kathryn Jane,5,N,N,GRN,The Greens,32,0.81
ACT,318,Bean,93906,Curtin (Bean),37198,HIATT,Jane,6,N,N,LP,Liberal,35,-2.32
ACT,318,Bean,93906,Curtin (Bean),999,Informal,Informal,999,N,N,,Informal,1,-3.86
ACT,318,Bean,8767,Duffy,36239,CONWAY,Sean,1,N,N,UAPP,United Australia Party,43,0.9
ACT,318,Bean,8767,Duffy,37455,AMBARD,Benjamin,2,N,N,ON,Pauline Hanson's One Nation,31,1.7
ACT,318,Bean,8767,Duffy,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,832,0.79
ACT,318,Bean,8767,Duffy,32130,CHRISTIE,Jamie,4,N,N,IND,Independent,170,0.12
ACT,318,Bean,8767,Duffy,36243,SAVERY,Kathryn Jane,5,N,N,GRN,The Greens,332,0.33
ACT,318,Bean,8767,Duffy,37198,HIATT,Jane,6,N,N,LP,Liberal,412,2.21
ACT,318,Bean,8767,Duffy,999,Informal,Informal,999,N,N,,Informal,38,-1.87
ACT,318,Bean,93927,EAV Bean PPVC,36239,CONWAY,Sean,1,N,N,UAPP,United Australia Party,1,7.14
ACT,318,Bean,93927,EAV Bean PPVC,37455,AMBARD,Benjamin,2,N,N,ON,Pauline Hanson's One Nation,0,0
ACT,318,Bean,93927,EAV Bean PPVC,36231,SMITH,David,3,Y,Y,ALP,Australian Labor Party,5,-10.43
ACT,318,Bean,93927,EAV Bean PPVC,32130,CHRISTIE,Jamie,4,N,N,IND,Independent,1,-0.55
ACT,318,Bean,93927,EAV Bean PPVC,36243,SAVERY,Kathryn Jane,5,N,N,GRN,The Greens,2,-8.78
ACT,318,Bean,93927,EAV Bean PPVC,37198,HIATT,Jane,6,N,N,LP,Liberal,5,27.98
ACT,318,Bean,93927,EAV Bean PPVC,999,Informal,Informal,999,N,N,,Informal,0,0
ACT,318,Bean,108523,EAV COVID19 Bean PPVC,36239,CONWAY,Sean,1,N,N,UAPP,United Australia Party,19,3.74
ACT,318,Bean,108523,EAV COVID19 Bean PPVC,37455,AMBARD,Benjamin,2,N,N,ON,Pauline Hanson's One Nation,9,1.77
