2022 Federal Election House of Representatives First Preferences By Candidate By Polling Place for NSW [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:02 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
NSW,103,Banks,31,Allawah,37018,COLEMAN,David,1,Y,Y,LP,Liberal,531,-3.46
NSW,103,Banks,31,Allawah,36651,COCKER,Elouise Ivy,2,N,N,LDP,Liberal Democrats,15,1.18
NSW,103,Banks,31,Allawah,36265,MOMIRCEVSKI,Marika,3,N,N,UAPP,United Australia Party,76,3.87
NSW,103,Banks,31,Allawah,36330,HANNA,Natalie,4,N,N,GRN,The Greens,116,3.87
NSW,103,Banks,31,Allawah,37388,KHOUW,Steve,5,N,N,NAFD,,13,1.02
NSW,103,Banks,31,Allawah,37773,HEFFERNAN,Malcolm Phillip,6,N,N,ON,Pauline Hanson's One Nation,43,3.38
NSW,103,Banks,31,Allawah,36774,SOON,Zhi,7,N,N,ALP,Labor,479,-4.92
NSW,103,Banks,31,Allawah,999,Informal,Informal,999,N,N,,Informal,173,-0.44
NSW,103,Banks,67,Allawah South,37018,COLEMAN,David,1,Y,Y,LP,Liberal,345,-5.39
NSW,103,Banks,67,Allawah South,36651,COCKER,Elouise Ivy,2,N,N,LDP,Liberal Democrats,6,0.72
NSW,103,Banks,67,Allawah South,36265,MOMIRCEVSKI,Marika,3,N,N,UAPP,United Australia Party,52,4.09
NSW,103,Banks,67,Allawah South,36330,HANNA,Natalie,4,N,N,GRN,The Greens,71,2.35
NSW,103,Banks,67,Allawah South,37388,KHOUW,Steve,5,N,N,NAFD,,7,0.84
NSW,103,Banks,67,Allawah South,37773,HEFFERNAN,Malcolm Phillip,6,N,N,ON,Pauline Hanson's One Nation,20,2.41
NSW,103,Banks,67,Allawah South,36774,SOON,Zhi,7,N,N,ALP,Labor,330,-0.03
NSW,103,Banks,67,Allawah South,999,Informal,Informal,999,N,N,,Informal,70,0.52
