2022 Federal Election House of Representatives First Preferences By Candidate By Polling Place for NT [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:00 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
NT,306,Lingiari,108362,Adelaide River PPVC,36968,RYAN,Damien,1,N,N,CLP,NT CLP,47,33.83
NT,306,Lingiari,108362,Adelaide River PPVC,36457,McFARLAND,Blair,2,N,N,GRN,The Greens,6,0.64
NT,306,Lingiari,108362,Adelaide River PPVC,37585,LEE,Thong Sum,3,N,N,CEC,Citizens Party,2,2.17
NT,306,Lingiari,108362,Adelaide River PPVC,37142,MCLEOD,Allan,4,N,N,UAPP,United Australia Party,3,1.91
NT,306,Lingiari,108362,Adelaide River PPVC,37286,SCRYMGOUR,Marion,5,Y,N,ALP,A.L.P.,19,-40.43
NT,306,Lingiari,108362,Adelaide River PPVC,36987,GRAVENER,Michael Setford,6,N,N,IND,Independent,2,2.17
NT,306,Lingiari,108362,Adelaide River PPVC,37808,ADAMSON AGARS,Imelda,7,N,N,IND,Independent,1,1.09
NT,306,Lingiari,108362,Adelaide River PPVC,37433,GALLARD,Tim,8,N,N,ON,Pauline Hanson's One Nation,8,8.7
NT,306,Lingiari,108362,Adelaide River PPVC,37429,KASPAREK,George,9,N,N,LDP,Liberal Democrats,4,4.35
NT,306,Lingiari,108362,Adelaide River PPVC,999,Informal,Informal,999,N,N,,Informal,6,-2.08
NT,306,Lingiari,8701,Alice Springs,36968,RYAN,Damien,1,N,N,CLP,NT CLP,427,-6.79
NT,306,Lingiari,8701,Alice Springs,36457,McFARLAND,Blair,2,N,N,GRN,The Greens,294,4.05
NT,306,Lingiari,8701,Alice Springs,37585,LEE,Thong Sum,3,N,N,CEC,Citizens Party,10,0.79
NT,306,Lingiari,8701,Alice Springs,37142,MCLEOD,Allan,4,N,N,UAPP,United Australia Party,26,0.44
NT,306,Lingiari,8701,Alice Springs,37286,SCRYMGOUR,Marion,5,Y,N,ALP,A.L.P.,354,-7.65
NT,306,Lingiari,8701,Alice Springs,36987,GRAVENER,Michael Setford,6,N,N,IND,Independent,29,2.29
NT,306,Lingiari,8701,Alice Springs,37808,ADAMSON AGARS,Imelda,7,N,N,IND,Independent,6,0.47
NT,306,Lingiari,8701,Alice Springs,37433,GALLARD,Tim,8,N,N,ON,Pauline Hanson's One Nation,82,6.46
NT,306,Lingiari,8701,Alice Springs,37429,KASPAREK,George,9,N,N,LDP,Liberal Democrats,41,3.23
NT,306,Lingiari,8701,Alice Springs,999,Informal,Informal,999,N,N,,Informal,82,2.96
NT,306,Lingiari,65681,Alice Springs PPVC,36968,RYAN,Damien,1,N,N,CLP,NT CLP,2139,-4.99
NT,306,Lingiari,65681,Alice Springs PPVC,36457,McFARLAND,Blair,2,N,N,GRN,The Greens,899,5.67
NT,306,Lingiari,65681,Alice Springs PPVC,37585,LEE,Thong Sum,3,N,N,CEC,Citizens Party,38,0.71
NT,306,Lingiari,65681,Alice Springs PPVC,37142,MCLEOD,Allan,4,N,N,UAPP,United Australia Party,63,-0.8
NT,306,Lingiari,65681,Alice Springs PPVC,37286,SCRYMGOUR,Marion,5,Y,N,ALP,A.L.P.,1758,-5.15
NT,306,Lingiari,65681,Alice Springs PPVC,36987,GRAVENER,Michael Setford,6,N,N,IND,Independent,88,1.65
NT,306,Lingiari,65681,Alice Springs PPVC,37808,ADAMSON AGARS,Imelda,7,N,N,IND,Independent,35,0.66
NT,306,Lingiari,65681,Alice Springs PPVC,37433,GALLARD,Tim,8,N,N,ON,Pauline Hanson's One Nation,203,3.81
NT,306,Lingiari,65681,Alice Springs PPVC,37429,KASPAREK,George,9,N,N,LDP,Liberal Democrats,110,2.06
NT,306,Lingiari,65681,Alice Springs PPVC,999,Informal,Informal,999,N,N,,Informal,268,1.44
NT,306,Lingiari,108361,Batchelor PPVC,36968,RYAN,Damien,1,N,N,CLP,NT CLP,42,2.07
NT,306,Lingiari,108361,Batchelor PPVC,36457,McFARLAND,Blair,2,N,N,GRN,The Greens,9,0.47
NT,306,Lingiari,108361,Batchelor PPVC,37585,LEE,Thong Sum,3,N,N,CEC,Citizens Party,2,1.39
