2022 Federal Election House of Representatives First Preferences By Candidate By Polling Place for QLD [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:01 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
QLD,304,Blair,6347,Brassall,37332,MUTTON,Danielle,1,N,N,GRN,Queensland Greens,181,7.16
QLD,304,Blair,6347,Brassall,37309,JAQUES,Michelle,2,N,N,LDP,Liberal Democrats,32,2.33
QLD,304,Blair,6347,Brassall,35963,CUNNINGHAM,Quinton Stewart,3,N,N,UAPP,United Australia Party,85,3.23
QLD,304,Blair,6347,Brassall,38212,SUDUK,Liz,4,N,N,ON,Pauline Hanson's One Nation,91,-9.02
QLD,304,Blair,6347,Brassall,37216,NEUMANN,Shayne,5,Y,Y,ALP,Australian Labor Party,545,3.96
QLD,304,Blair,6347,Brassall,37377,PITMAN,Maria,6,N,N,AUVA,Australian Values Party,15,1.09
QLD,304,Blair,6347,Brassall,37192,LOWERY,Angela,7,N,N,AJP,Animal Justice Party,37,2.7
QLD,304,Blair,6347,Brassall,37469,BIGGINS,Sam,8,N,N,LNP,Liberal National Party of Queensland,385,-0.63
QLD,304,Blair,6347,Brassall,999,Informal,Informal,999,N,N,,Informal,78,-2.5
QLD,304,Blair,6348,Brassall North,37332,MUTTON,Danielle,1,N,N,GRN,Queensland Greens,293,4.06
QLD,304,Blair,6348,Brassall North,37309,JAQUES,Michelle,2,N,N,LDP,Liberal Democrats,51,2.78
QLD,304,Blair,6348,Brassall North,35963,CUNNINGHAM,Quinton Stewart,3,N,N,UAPP,United Australia Party,110,3.03
QLD,304,Blair,6348,Brassall North,38212,SUDUK,Liz,4,N,N,ON,Pauline Hanson's One Nation,192,-7.93
QLD,304,Blair,6348,Brassall North,37216,NEUMANN,Shayne,5,Y,Y,ALP,Australian Labor Party,715,5.65
QLD,304,Blair,6348,Brassall North,37377,PITMAN,Maria,6,N,N,AUVA,Australian Values Party,25,1.36
QLD,304,Blair,6348,Brassall North,37192,LOWERY,Angela,7,N,N,AJP,Animal Justice Party,75,4.09
QLD,304,Blair,6348,Brassall North,37469,BIGGINS,Sam,8,N,N,LNP,Liberal National Party of Queensland,372,-2.14
QLD,304,Blair,6348,Brassall North,999,Informal,Informal,999,N,N,,Informal,173,-3.58
