2022 Federal Election House of Representatives First Preferences By Candidate By Polling Place for SA [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:00 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
SA,179,Adelaide,6648,Adelaide (Adelaide),37049,GRANTHAM,Amy,1,N,N,LP,Liberal,206,-3.28
SA,179,Adelaide,6648,Adelaide (Adelaide),36973,GEORGANAS,Steve,2,Y,Y,ALP,Australian Labor Party,268,-3.2
SA,179,Adelaide,6648,Adelaide (Adelaide),36094,ALLWOOD,Sean,3,N,N,UAPP,United Australia Party,23,-0.83
SA,179,Adelaide,6648,Adelaide (Adelaide),36053,McMILLAN,Matthew,4,N,N,SOPA,"FUSION: Science, Pirate, Secular, Climate Emergency",25,3.13
SA,179,Adelaide,6648,Adelaide (Adelaide),36463,GALDIES,Rebecca,5,N,N,GRN,The Greens,249,5.44
SA,179,Adelaide,6648,Adelaide (Adelaide),37714,GERHARD,Faith,6,N,N,CYA,Australian Federation Party,5,0.63
SA,179,Adelaide,6648,Adelaide (Adelaide),36885,ALLWOOD,Gayle,7,N,N,ON,Pauline Hanson's One Nation,22,2.76
SA,179,Adelaide,6648,Adelaide (Adelaide),999,Informal,Informal,999,N,N,,Informal,20,-0.63
SA,179,Adelaide,32952,Adelaide ADELAIDE PPVC,37049,GRANTHAM,Amy,1,N,N,LP,Liberal,1419,-8.76
SA,179,Adelaide,32952,Adelaide ADELAIDE PPVC,36973,GEORGANAS,Steve,2,Y,Y,ALP,Australian Labor Party,1846,0.56
SA,179,Adelaide,32952,Adelaide ADELAIDE PPVC,36094,ALLWOOD,Sean,3,N,N,UAPP,United Australia Party,95,-0.41
