2022 Federal Election House of Representatives First Preferences By Candidate By Polling Place for TAS [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:00 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
TAS,192,Bass,8553,Beaconsfield,36070,RAZAY,George,1,N,N,IND,Independent,35,4.55
TAS,192,Bass,8553,Beaconsfield,37348,SALT,Bob,2,N,N,JLN,Jacqui Lambie Network,93,12.09
TAS,192,Bass,8553,Beaconsfield,37287,ROSOL,Cecily,3,N,N,GRN,The Greens,59,0.14
TAS,192,Bass,8553,Beaconsfield,37134,ARCHER,Bridget Kathleen,4,Y,Y,LP,Liberal,269,0.47
TAS,192,Bass,8553,Beaconsfield,36814,BAKER,Alison,5,N,N,AJP,Animal Justice Party,14,-1.78
TAS,192,Bass,8553,Beaconsfield,37003,HUMBLE,Stephen,6,N,N,LDP,Liberal Democrats,11,1.43
TAS,192,Bass,8553,Beaconsfield,36111,SQUIBB,Kyle,7,N,N,UAPP,United Australia Party,21,-5.85
TAS,192,Bass,8553,Beaconsfield,37601,DAVY,Melanie,8,N,N,ON,Pauline Hanson's One Nation,54,7.02
TAS,192,Bass,8553,Beaconsfield,37226,HART,Ross,9,N,N,ALP,Australian Labor Party,213,-8.99
TAS,192,Bass,8553,Beaconsfield,999,Informal,Informal,999,N,N,,Informal,86,3.27
TAS,192,Bass,8608,Beauty Point,36070,RAZAY,George,1,N,N,IND,Independent,20,3.93
TAS,192,Bass,8608,Beauty Point,37348,SALT,Bob,2,N,N,JLN,Jacqui Lambie Network,55,10.81
TAS,192,Bass,8608,Beauty Point,37287,ROSOL,Cecily,3,N,N,GRN,The Greens,42,3.06
TAS,192,Bass,8608,Beauty Point,37134,ARCHER,Bridget Kathleen,4,Y,Y,LP,Liberal,200,-6.9
TAS,192,Bass,8608,Beauty Point,36814,BAKER,Alison,5,N,N,AJP,Animal Justice Party,8,-0.24
TAS,192,Bass,8608,Beauty Point,37003,HUMBLE,Stephen,6,N,N,LDP,Liberal Democrats,2,0.39
TAS,192,Bass,8608,Beauty Point,36111,SQUIBB,Kyle,7,N,N,UAPP,United Australia Party,6,-4.2
TAS,192,Bass,8608,Beauty Point,37601,DAVY,Melanie,8,N,N,ON,Pauline Hanson's One Nation,35,6.88
TAS,192,Bass,8608,Beauty Point,37226,HART,Ross,9,N,N,ALP,Australian Labor Party,141,-5.89
TAS,192,Bass,8608,Beauty Point,999,Informal,Informal,999,N,N,,Informal,51,2.15
TAS,192,Bass,8290,Branxholm,36070,RAZAY,George,1,N,N,IND,Independent,2,1.02
TAS,192,Bass,8290,Branxholm,37348,SALT,Bob,2,N,N,JLN,Jacqui Lambie Network,20,10.15
TAS,192,Bass,8290,Branxholm,37287,ROSOL,Cecily,3,N,N,GRN,The Greens,20,2.38
TAS,192,Bass,8290,Branxholm,37134,ARCHER,Bridget Kathleen,4,Y,Y,LP,Liberal,77,-2.69
TAS,192,Bass,8290,Branxholm,36814,BAKER,Alison,5,N,N,AJP,Animal Justice Party,4,-1.05
TAS,192,Bass,8290,Branxholm,37003,HUMBLE,Stephen,6,N,N,LDP,Liberal Democrats,3,1.52
TAS,192,Bass,8290,Branxholm,36111,SQUIBB,Kyle,7,N,N,UAPP,United Australia Party,3,-3.11
TAS,192,Bass,8290,Branxholm,37601,DAVY,Melanie,8,N,N,ON,Pauline Hanson's One Nation,18,9.14
TAS,192,Bass,8290,Branxholm,37226,HART,Ross,9,N,N,ALP,Australian Labor Party,50,-10.17
TAS,192,Bass,8290,Branxholm,999,Informal,Informal,999,N,N,,Informal,19,2.55
TAS,192,Bass,8291,Bridport,36070,RAZAY,George,1,N,N,IND,Independent,34,3.98
TAS,192,Bass,8291,Bridport,37348,SALT,Bob,2,N,N,JLN,Jacqui Lambie Network,59,6.91
TAS,192,Bass,8291,Bridport,37287,ROSOL,Cecily,3,N,N,GRN,The Greens,44,1.3
TAS,192,Bass,8291,Bridport,37134,ARCHER,Bridget Kathleen,4,Y,Y,LP,Liberal,490,-4.57
TAS,192,Bass,8291,Bridport,36814,BAKER,Alison,5,N,N,AJP,Animal Justice Party,4,-1.3
TAS,192,Bass,8291,Bridport,37003,HUMBLE,Stephen,6,N,N,LDP,Liberal Democrats,10,1.17
TAS,192,Bass,8291,Bridport,36111,SQUIBB,Kyle,7,N,N,UAPP,United Australia Party,17,-2.33
TAS,192,Bass,8291,Bridport,37601,DAVY,Melanie,8,N,N,ON,Pauline Hanson's One Nation,26,3.04
TAS,192,Bass,8291,Bridport,37226,HART,Ross,9,N,N,ALP,Australian Labor Party,170,-3.29
TAS,192,Bass,8291,Bridport,999,Informal,Informal,999,N,N,,Informal,56,2.01
TAS,192,Bass,8295,Derby,36070,RAZAY,George,1,N,N,IND,Independent,4,5.33
TAS,192,Bass,8295,Derby,37348,SALT,Bob,2,N,N,JLN,Jacqui Lambie Network,3,4
TAS,192,Bass,8295,Derby,37287,ROSOL,Cecily,3,N,N,GRN,The Greens,18,5.59
TAS,192,Bass,8295,Derby,37134,ARCHER,Bridget Kathleen,4,Y,Y,LP,Liberal,22,-1.54
TAS,192,Bass,8295,Derby,36814,BAKER,Alison,5,N,N,AJP,Animal Justice Party,1,-0.98
TAS,192,Bass,8295,Derby,37003,HUMBLE,Stephen,6,N,N,LDP,Liberal Democrats,2,2.67
TAS,192,Bass,8295,Derby,36111,SQUIBB,Kyle,7,N,N,UAPP,United Australia Party,2,-1.94
TAS,192,Bass,8295,Derby,37601,DAVY,Melanie,8,N,N,ON,Pauline Hanson's One Nation,2,2.67
TAS,192,Bass,8295,Derby,37226,HART,Ross,9,N,N,ALP,Australian Labor Party,21,-9.67
TAS,192,Bass,8295,Derby,999,Informal,Informal,999,N,N,,Informal,7,5.55
TAS,192,Bass,8296,Dilston,36070,RAZAY,George,1,N,N,IND,Independent,32,5.39
TAS,192,Bass,8296,Dilston,37348,SALT,Bob,2,N,N,JLN,Jacqui Lambie Network,29,4.88
