2022 Federal Election House of Representatives First Preferences By Candidate By Polling Place for VIC [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:01 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
VIC,197,Aston,2942,Bayswater,35983,SPELMAN,Rebekah Jane,1,N,N,UAPP,United Australia Party,111,2.17
VIC,197,Aston,2942,Bayswater,36704,TUDGE,Alan,2,Y,Y,LP,Liberal,599,-9.55
VIC,197,Aston,2942,Bayswater,36489,COOKSON,Asher,3,N,N,GRN,The Greens,289,5.39
VIC,197,Aston,2942,Bayswater,36181,BRUCE,Ryan,4,N,N,TNL,TNL,14,0.81
VIC,197,Aston,2942,Bayswater,37636,IBBOTSON,Craig,5,N,N,ON,Pauline Hanson's One Nation,49,2.84
VIC,197,Aston,2942,Bayswater,36938,ROCHE,Liam,6,N,N,LDP,Liberal Democrats,28,1.62
VIC,197,Aston,2942,Bayswater,36377,DOYLE,Mary,7,N,N,ALP,Australian Labor Party,635,0.91
VIC,197,Aston,2942,Bayswater,999,Informal,Informal,999,N,N,,Informal,64,-0.16
VIC,197,Aston,83798,Bayswater South,35983,SPELMAN,Rebekah Jane,1,N,N,UAPP,United Australia Party,41,3.72
VIC,197,Aston,83798,Bayswater South,36704,TUDGE,Alan,2,Y,Y,LP,Liberal,235,-10.96
VIC,197,Aston,83798,Bayswater South,36489,COOKSON,Asher,3,N,N,GRN,The Greens,96,2.94
VIC,197,Aston,83798,Bayswater South,36181,BRUCE,Ryan,4,N,N,TNL,TNL,12,1.87
VIC,197,Aston,83798,Bayswater South,37636,IBBOTSON,Craig,5,N,N,ON,Pauline Hanson's One Nation,21,3.28
VIC,197,Aston,83798,Bayswater South,36938,ROCHE,Liam,6,N,N,LDP,Liberal Democrats,17,2.65
VIC,197,Aston,83798,Bayswater South,36377,DOYLE,Mary,7,N,N,ALP,Australian Labor Party,219,-1.13
VIC,197,Aston,83798,Bayswater South,999,Informal,Informal,999,N,N,,Informal,17,-0.19
VIC,197,Aston,2945,Bayswater West,35983,SPELMAN,Rebekah Jane,1,N,N,UAPP,United Australia Party,64,2.09
VIC,197,Aston,2945,Bayswater West,36704,TUDGE,Alan,2,Y,Y,LP,Liberal,417,-11.16
VIC,197,Aston,2945,Bayswater West,36489,COOKSON,Asher,3,N,N,GRN,The Greens,133,2.56
VIC,197,Aston,2945,Bayswater West,36181,BRUCE,Ryan,4,N,N,TNL,TNL,9,0.82
VIC,197,Aston,2945,Bayswater West,37636,IBBOTSON,Craig,5,N,N,ON,Pauline Hanson's One Nation,56,5.1
VIC,197,Aston,2945,Bayswater West,36938,ROCHE,Liam,6,N,N,LDP,Liberal Democrats,14,1.28
VIC,197,Aston,2945,Bayswater West,36377,DOYLE,Mary,7,N,N,ALP,Australian Labor Party,405,3.74
VIC,197,Aston,2945,Bayswater West,999,Informal,Informal,999,N,N,,Informal,48,0.2
VIC,197,Aston,2948,Boronia,35983,SPELMAN,Rebekah Jane,1,N,N,UAPP,United Australia Party,83,2.37
VIC,197,Aston,2948,Boronia,36704,TUDGE,Alan,2,Y,Y,LP,Liberal,504,-5.84
VIC,197,Aston,2948,Boronia,36489,COOKSON,Asher,3,N,N,GRN,The Greens,165,0.89
VIC,197,Aston,2948,Boronia,36181,BRUCE,Ryan,4,N,N,TNL,TNL,13,1.01
VIC,197,Aston,2948,Boronia,37636,IBBOTSON,Craig,5,N,N,ON,Pauline Hanson's One Nation,24,1.86
VIC,197,Aston,2948,Boronia,36938,ROCHE,Liam,6,N,N,LDP,Liberal Democrats,25,1.94
VIC,197,Aston,2948,Boronia,36377,DOYLE,Mary,7,N,N,ALP,Australian Labor Party,474,2.32
VIC,197,Aston,2948,Boronia,999,Informal,Informal,999,N,N,,Informal,59,-0.65
VIC,197,Aston,63158,Boronia ASTON PPVC,35983,SPELMAN,Rebekah Jane,1,N,N,UAPP,United Australia Party,809,1.31
VIC,197,Aston,63158,Boronia ASTON PPVC,36704,TUDGE,Alan,2,Y,Y,LP,Liberal,5407,-10.91
VIC,197,Aston,63158,Boronia ASTON PPVC,36489,COOKSON,Asher,3,N,N,GRN,The Greens,1695,3.55
VIC,197,Aston,63158,Boronia ASTON PPVC,36181,BRUCE,Ryan,4,N,N,TNL,TNL,174,1.31
VIC,197,Aston,63158,Boronia ASTON PPVC,37636,IBBOTSON,Craig,5,N,N,ON,Pauline Hanson's One Nation,397,2.99
VIC,197,Aston,63158,Boronia ASTON PPVC,36938,ROCHE,Liam,6,N,N,LDP,Liberal Democrats,279,2.1
VIC,197,Aston,63158,Boronia ASTON PPVC,36377,DOYLE,Mary,7,N,N,ALP,Australian Labor Party,4508,3.53
VIC,197,Aston,63158,Boronia ASTON PPVC,999,Informal,Informal,999,N,N,,Informal,442,-1.11
VIC,197,Aston,4273,Boronia East,35983,SPELMAN,Rebekah Jane,1,N,N,UAPP,United Australia Party,84,2.18
VIC,197,Aston,4273,Boronia East,36704,TUDGE,Alan,2,Y,Y,LP,Liberal,299,-8.92
VIC,197,Aston,4273,Boronia East,36489,COOKSON,Asher,3,N,N,GRN,The Greens,210,3.55
VIC,197,Aston,4273,Boronia East,36181,BRUCE,Ryan,4,N,N,TNL,TNL,7,0.69
VIC,197,Aston,4273,Boronia East,37636,IBBOTSON,Craig,5,N,N,ON,Pauline Hanson's One Nation,45,4.43
VIC,197,Aston,4273,Boronia East,36938,ROCHE,Liam,6,N,N,LDP,Liberal Democrats,29,2.86
VIC,197,Aston,4273,Boronia East,36377,DOYLE,Mary,7,N,N,ALP,Australian Labor Party,341,-1.38
VIC,197,Aston,4273,Boronia East,999,Informal,Informal,999,N,N,,Informal,46,-0.64
VIC,197,Aston,4274,Boronia North,35983,SPELMAN,Rebekah Jane,1,N,N,UAPP,United Australia Party,109,4.58
VIC,197,Aston,4274,Boronia North,36704,TUDGE,Alan,2,Y,Y,LP,Liberal,426,-14.89
VIC,197,Aston,4274,Boronia North,36489,COOKSON,Asher,3,N,N,GRN,The Greens,188,3.1
VIC,197,Aston,4274,Boronia North,36181,BRUCE,Ryan,4,N,N,TNL,TNL,23,1.76
VIC,197,Aston,4274,Boronia North,37636,IBBOTSON,Craig,5,N,N,ON,Pauline Hanson's One Nation,49,3.76
VIC,197,Aston,4274,Boronia North,36938,ROCHE,Liam,6,N,N,LDP,Liberal Democrats,34,2.61
VIC,197,Aston,4274,Boronia North,36377,DOYLE,Mary,7,N,N,ALP,Australian Labor Party,475,2.43
VIC,197,Aston,4274,Boronia North,999,Informal,Informal,999,N,N,,Informal,48,-0.16
VIC,197,Aston,2969,Boronia West,35983,SPELMAN,Rebekah Jane,1,N,N,UAPP,United Australia Party,120,4.21
VIC,197,Aston,2969,Boronia West,36704,TUDGE,Alan,2,Y,Y,LP,Liberal,466,-19.52
VIC,197,Aston,2969,Boronia West,36489,COOKSON,Asher,3,N,N,GRN,The Greens,228,7.89
VIC,197,Aston,2969,Boronia West,36181,BRUCE,Ryan,4,N,N,TNL,TNL,24,1.63
VIC,197,Aston,2969,Boronia West,37636,IBBOTSON,Craig,5,N,N,ON,Pauline Hanson's One Nation,59,4
VIC,197,Aston,2969,Boronia West,36938,ROCHE,Liam,6,N,N,LDP,Liberal Democrats,39,2.64
VIC,197,Aston,2969,Boronia West,36377,DOYLE,Mary,7,N,N,ALP,Australian Labor Party,540,3.11
VIC,197,Aston,2969,Boronia West,999,Informal,Informal,999,N,N,,Informal,66,-0.49
VIC,197,Aston,65510,EAV Aston PPVC,35983,SPELMAN,Rebekah Jane,1,N,N,UAPP,United Australia Party,1,4.29
VIC,197,Aston,65510,EAV Aston PPVC,36704,TUDGE,Alan,2,Y,Y,LP,Liberal,13,11.98
VIC,197,Aston,65510,EAV Aston PPVC,36489,COOKSON,Asher,3,N,N,GRN,The Greens,3,5.13
VIC,197,Aston,65510,EAV Aston PPVC,36181,BRUCE,Ryan,4,N,N,TNL,TNL,0,0
VIC,197,Aston,65510,EAV Aston PPVC,37636,IBBOTSON,Craig,5,N,N,ON,Pauline Hanson's One Nation,0,0
VIC,197,Aston,65510,EAV Aston PPVC,36938,ROCHE,Liam,6,N,N,LDP,Liberal Democrats,0,0
VIC,197,Aston,65510,EAV Aston PPVC,36377,DOYLE,Mary,7,N,N,ALP,Australian Labor Party,6,-17.45
VIC,197,Aston,65510,EAV Aston PPVC,999,Informal,Informal,999,N,N,,Informal,0,-0.08
VIC,197,Aston,108506,EAV COVID19 Aston PPVC,35983,SPELMAN,Rebekah Jane,1,N,N,UAPP,United Australia Party,19,4.19
