2022 Federal Election House of Representatives First Preferences By Candidate By Polling Place for WA [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:00 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
WA,235,Brand,7472,Baldivis,37186,KING,Madeleine,1,Y,Y,ALP,Australian Labor Party,805,10.41
WA,235,Brand,7472,Baldivis,37788,HEFFERNAN,Malcolm,2,N,N,CYA,Australian Federation Party,6,0.35
WA,235,Brand,7472,Baldivis,36566,HUDSON,Peter,3,N,N,LP,Liberal,436,-13.07
WA,235,Brand,7472,Baldivis,36460,PIKE,David,4,N,N,UAPP,United Australia Party,54,1.3
WA,235,Brand,7472,Baldivis,36575,LONSDALE,Heather,5,N,N,GRN,The Greens (WA),215,1.26
WA,235,Brand,7472,Baldivis,36471,CRICHTON,Jayne,6,N,N,AUC,Australian Christians,62,0.5
WA,235,Brand,7472,Baldivis,37847,O'LOGHLEN,Michael,7,N,N,WAP,WESTERN AUSTRALIA PARTY,41,1.01
WA,235,Brand,7472,Baldivis,37191,MARSHALL,Alison,8,N,N,LDP,Liberal Democrats,10,0.58
WA,235,Brand,7472,Baldivis,37376,GLEESON,Andrew,9,N,N,GAP,The Great Australian Party,15,0.87
WA,235,Brand,7472,Baldivis,37350,TAYLOR,Jake,10,N,N,ON,Pauline Hanson's One Nation,88,-2.05
WA,235,Brand,7472,Baldivis,999,Informal,Informal,999,N,N,,Informal,111,0.82
WA,235,Brand,64591,Baldivis Central,37186,KING,Madeleine,1,Y,Y,ALP,Australian Labor Party,850,10.51
WA,235,Brand,64591,Baldivis Central,37788,HEFFERNAN,Malcolm,2,N,N,CYA,Australian Federation Party,4,0.22
WA,235,Brand,64591,Baldivis Central,36566,HUDSON,Peter,3,N,N,LP,Liberal,411,-12.12
WA,235,Brand,64591,Baldivis Central,36460,PIKE,David,4,N,N,UAPP,United Australia Party,56,0.51
WA,235,Brand,64591,Baldivis Central,36575,LONSDALE,Heather,5,N,N,GRN,The Greens (WA),248,1.66
WA,235,Brand,64591,Baldivis Central,36471,CRICHTON,Jayne,6,N,N,AUC,Australian Christians,44,-0.63
