StateCo,StateAb,DivName,DivCo,PPName,PremisesName,Address1,Address2,Address3,Locality,AddrStateAb,Postcode,PPId,AdvPremisesName,AdvAddress,AdvLocality,AdvBoothLocation,AdvGateAccess,Lat,Long,CCD,WheelchairAccess,OrdVoteEst,DecVoteEst,DateFrom,DateTo,TimeFrom,TimeTo
"2","NSW","Banks","1","Bankstown BANKS PPVC","Bankstown Senior Citizens Centre","7 West Tce","","","BANKSTOWN","NSW","2200","97646","Bankstown Senior Citizens Centre","7 West Tce  ","BANKSTOWN","Hall","West Terrace","-33.9189229910993","151.036153947903","1157215","Assisted","887","0","09/05/2022","13/05/2022","8:00","20:00"
"2","NSW","Banks","1","Bankstown BANKS PPVC","Bankstown Senior Citizens Centre","7 West Tce","","","BANKSTOWN","NSW","2200","97646","Bankstown Senior Citizens Centre","7 West Tce  ","BANKSTOWN","Hall","West Terrace","-33.9189229910993","151.036153947903","1157215","Assisted","887","0","14/05/2022","14/05/2022","9:00","16:00"
"2","NSW","Banks","1","Bankstown BANKS PPVC","Bankstown Senior Citizens Centre","7 West Tce","","","BANKSTOWN","NSW","2200","97646","Bankstown Senior Citizens Centre","7 West Tce  ","BANKSTOWN","Hall","West Terrace","-33.9189229910993","151.036153947903","1157215","Assisted","887","0","16/05/2022","19/05/2022","8:00","20:00"
"2","NSW","Banks","1","Bankstown BANKS PPVC","Bankstown Senior Citizens Centre","7 West Tce","","","BANKSTOWN","NSW","2200","97646","Bankstown Senior Citizens Centre","7 West Tce  ","BANKSTOWN","Hall","West Terrace","-33.9189229910993","151.036153947903","1157215","Assisted","887","0","20/05/2022","20/05/2022","8:00","18:00"
"2","NSW","Banks","1","Central Sydney BANKS PPVC","TAFE NSW Ultimo Campus","2-10 Mary Ann St","","","ULTIMO","NSW","2007","97644","TAFE NSW Ultimo Campus","2-10 Mary Ann St","ULTIMO","Turner Hall & Classrooms NG.16-NG.18","Mary Ann Street ","-33.8814906158705","151.197757859755","1133452","Assisted","445","0","09/05/2022","13/05/2022","8:00","20:00"
"2","NSW","Banks","1","Central Sydney BANKS PPVC","TAFE NSW Ultimo Campus","2-10 Mary Ann St","","","ULTIMO","NSW","2007","97644","TAFE NSW Ultimo Campus","2-10 Mary Ann St","ULTIMO","Turner Hall & Classrooms NG.16-NG.18","Mary Ann Street ","-33.8814906158705","151.197757859755","1133452","Assisted","445","0","14/05/2022","14/05/2022","9:00","16:00"
"2","NSW","Banks","1","Central Sydney BANKS PPVC","TAFE NSW Ultimo Campus","2-10 Mary Ann St","","","ULTIMO","NSW","2007","97644","TAFE NSW Ultimo Campus","2-10 Mary Ann St","ULTIMO","Turner Hall & Classrooms NG.16-NG.18","Mary Ann Street ","-33.8814906158705","151.197757859755","1133452","Assisted","445","0","16/05/2022","19/05/2022","8:00","20:00"
"2","NSW","Banks","1","Central Sydney BANKS PPVC","TAFE NSW Ultimo Campus","2-10 Mary Ann St","","","ULTIMO","NSW","2007","97644","TAFE NSW Ultimo Campus","2-10 Mary Ann St","ULTIMO","Turner Hall & Classrooms NG.16-NG.18","Mary Ann Street ","-33.8814906158705","151.197757859755","1133452","Assisted","445","0","20/05/2022","20/05/2022","8:00","18:00"
"2","NSW","Banks","1","Haymarket BANKS PPVC","Sydney Masonic Centre","66 Goulburn St","","","SYDNEY","NSW","2000","97645","Sydney Masonic Centre","66 Goulburn St","SYDNEY","Multi-purpose room","66 Goulburn Street","-33.8779097343399","151.207999565061","1133708","Full","621","0","09/05/2022","13/05/2022","8:00","20:00"
"2","NSW","Banks","1","Haymarket BANKS PPVC","Sydney Masonic Centre","66 Goulburn St","","","SYDNEY","NSW","2000","97645","Sydney Masonic Centre","66 Goulburn St","SYDNEY","Multi-purpose room","66 Goulburn Street","-33.8779097343399","151.207999565061","1133708","Full","621","0","14/05/2022","14/05/2022","9:00","16:00"
"2","NSW","Banks","1","Haymarket BANKS PPVC","Sydney Masonic Centre","66 Goulburn St","","","SYDNEY","NSW","2000","97645","Sydney Masonic Centre","66 Goulburn St","SYDNEY","Multi-purpose room","66 Goulburn Street","-33.8779097343399","151.207999565061","1133708","Full","621","0","16/05/2022","19/05/2022","8:00","20:00"
"2","NSW","Banks","1","Haymarket BANKS PPVC","Sydney Masonic Centre","66 Goulburn St","","","SYDNEY","NSW","2000","97645","Sydney Masonic Centre","66 Goulburn St","SYDNEY","Multi-purpose room","66 Goulburn Street","-33.8779097343399","151.207999565061","1133708","Full","621","0","20/05/2022","20/05/2022","8:00","18:00"
"2","NSW","Banks","1","Hurstville BANKS PPVC","43 Bridge Street","Office 1 43 Bridge St","","","HURSTVILLE","NSW","2220","34046","43 Bridge Street","Office 1 43 Bridge St","HURSTVILLE","Office","Glass doors","-33.964376680141","151.094589964134","1136804","None","14573","0","09/05/2022","13/05/2022","8:00","20:00"
"2","NSW","Banks","1","Hurstville BANKS PPVC","43 Bridge Street","Office 1 43 Bridge St","","","HURSTVILLE","NSW","2220","34046","43 Bridge Street","Office 1 43 Bridge St","HURSTVILLE","Office","Glass doors","-33.964376680141","151.094589964134","1136804","None","14573","0","14/05/2022","14/05/2022","9:00","16:00"
"2","NSW","Banks","1","Hurstville BANKS PPVC","43 Bridge Street","Office 1 43 Bridge St","","","HURSTVILLE","NSW","2220","34046","43 Bridge Street","Office 1 43 Bridge St","HURSTVILLE","Office","Glass doors","-33.964376680141","151.094589964134","1136804","None","14573","0","16/05/2022","19/05/2022","8:00","20:00"
"2","NSW","Banks","1","Hurstville BANKS PPVC","43 Bridge Street","Office 1 43 Bridge St","","","HURSTVILLE","NSW","2220","34046","43 Bridge Street","Office 1 43 Bridge St","HURSTVILLE","Office","Glass doors","-33.964376680141","151.094589964134","1136804","None","14573","0","20/05/2022","20/05/2022","8:00","18:00"
"2","NSW","Banks","1","Padstow BANKS PPVC","Padstow TAFE","Block C Dining Room","Raine Rd","","PADSTOW","NSW","2211","58722","Padstow TAFE","Block C Dining Room Raine Rd ","PADSTOW","Multi-purpose room","Doorway","-33.9480237","151.0259414","1135823","Full","10910","864","09/05/2022","13/05/2022","8:30","17:30"
"2","NSW","Banks","1","Padstow BANKS PPVC","Padstow TAFE","Block C Dining Room","Raine Rd","","PADSTOW","NSW","2211","58722","Padstow TAFE","Block C Dining Room Raine Rd ","PADSTOW","Multi-purpose room","Doorway","-33.9480237","151.0259414","1135823","Full","10910","864","14/05/2022","14/05/2022","9:00","16:00"
"2","NSW","Banks","1","Padstow BANKS PPVC","Padstow TAFE","Block C Dining Room","Raine Rd","","PADSTOW","NSW","2211","58722","Padstow TAFE","Block C Dining Room Raine Rd ","PADSTOW","Multi-purpose room","Doorway","-33.9480237","151.0259414","1135823","Full","10910","864","16/05/2022","19/05/2022","8:30","17:30"
"2","NSW","Banks","1","Padstow BANKS PPVC","Padstow TAFE","Block C Dining Room","Raine Rd","","PADSTOW","NSW","2211","58722","Padstow TAFE","Block C Dining Room Raine Rd ","PADSTOW","Multi-purpose room","Doorway","-33.9480237","151.0259414","1135823","Full","10910","864","20/05/2022","20/05/2022","8:30","18:00"
"2","NSW","Banks","1","Sydney BANKS PPVC","York Events ","Lvl 2 95-99 York St","","","SYDNEY","NSW","2000","97610","York Events ","Lvl 2 95-99 York St","SYDNEY","Event Space ","99 York Street, Foyer","-33.87014175","151.20580786","1133748","Full","777","0","09/05/2022","13/05/2022","8:00","20:00"
"2","NSW","Banks","1","Sydney BANKS PPVC","York Events ","Lvl 2 95-99 York St","","","SYDNEY","NSW","2000","97610","York Events ","Lvl 2 95-99 York St","SYDNEY","Event Space ","99 York Street, Foyer","-33.87014175","151.20580786","1133748","Full","777","0","14/05/2022","14/05/2022","9:00","16:00"
"2","NSW","Banks","1","Sydney BANKS PPVC","York Events ","Lvl 2 95-99 York St","","","SYDNEY","NSW","2000","97610","York Events ","Lvl 2 95-99 York St","SYDNEY","Event Space ","99 York Street, Foyer","-33.87014175","151.20580786","1133748","Full","777","0","16/05/2022","19/05/2022","8:00","20:00"
